,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,song_name,artist
94,0.544,0.911,10,-3.681,0,0.0422,0.000141,8.89e-06,0.333,0.558,91.033,audio_features,2ib8fuTavdc48X6MjhE4Ft,spotify:track:2ib8fuTavdc48X6MjhE4Ft,https://api.spotify.com/v1/tracks/2ib8fuTavdc48X6MjhE4Ft,https://api.spotify.com/v1/audio-analysis/2ib8fuTavdc48X6MjhE4Ft,218521,4,ZOMBIFIED,Falling In Reverse
95,0.485,0.966,4,-2.896,0,0.161,0.00137,0.0,0.347,0.333,167.921,audio_features,7cdTMTrlvm8vkBn2Ie7mKk,spotify:track:7cdTMTrlvm8vkBn2Ie7mKk,https://api.spotify.com/v1/tracks/7cdTMTrlvm8vkBn2Ie7mKk,https://api.spotify.com/v1/audio-analysis/7cdTMTrlvm8vkBn2Ie7mKk,157400,4,Off With His Head (feat. Cassyette),Frank Carter & The Rattlesnakes
96,0.56,0.91,1,-5.113,1,0.0383,0.000795,0.000397,0.287,0.756,130.05,audio_features,0IFdMq2MhXGEAdjzfpaMVu,spotify:track:0IFdMq2MhXGEAdjzfpaMVu,https://api.spotify.com/v1/tracks/0IFdMq2MhXGEAdjzfpaMVu,https://api.spotify.com/v1/audio-analysis/0IFdMq2MhXGEAdjzfpaMVu,177000,4,Tin Foil Soldier,The Hellacopters
97,0.487,0.935,0,-2.946,1,0.092,0.00232,2.95e-06,0.386,0.661,129.973,audio_features,1pShlPEW4nhGQeomZLCXtL,spotify:track:1pShlPEW4nhGQeomZLCXtL,https://api.spotify.com/v1/tracks/1pShlPEW4nhGQeomZLCXtL,https://api.spotify.com/v1/audio-analysis/1pShlPEW4nhGQeomZLCXtL,203800,4,It's Over,Silverstein
98,0.583,0.732,1,-4.103,1,0.039,0.00145,3.6e-05,0.148,0.393,145.031,audio_features,7H1ZwfAglRLCUxS4kfLZtT,spotify:track:7H1ZwfAglRLCUxS4kfLZtT,https://api.spotify.com/v1/tracks/7H1ZwfAglRLCUxS4kfLZtT,https://api.spotify.com/v1/audio-analysis/7H1ZwfAglRLCUxS4kfLZtT,240500,4,Johnny Wants To Fight,Badflower
99,0.355,0.919,7,-3.771,1,0.356,0.00234,0.000313,0.262,0.259,159.922,audio_features,2gT72HL4Y84K2Mle3miAMJ,spotify:track:2gT72HL4Y84K2Mle3miAMJ,https://api.spotify.com/v1/tracks/2gT72HL4Y84K2Mle3miAMJ,https://api.spotify.com/v1/audio-analysis/2gT72HL4Y84K2Mle3miAMJ,207141,4,DiE4u,Bring Me The Horizon
100,0.275,0.157,7,-18.752,1,0.0636,0.89,0.842,0.186,0.304,73.289,audio_features,17i5jLpzndlQhbS4SrTd0B,spotify:track:17i5jLpzndlQhbS4SrTd0B,https://api.spotify.com/v1/tracks/17i5jLpzndlQhbS4SrTd0B,https://api.spotify.com/v1/audio-analysis/17i5jLpzndlQhbS4SrTd0B,152280,4,"Cello Suite No. 1 in G Major, BWV 1007: I. Prélude",Johann Sebastian Bach
101,0.221,0.126,0,-25.427,1,0.0447,0.989,0.897,0.102,0.216,133.63,audio_features,4SFBV7SRNG2e2kyL1F6kjU,spotify:track:4SFBV7SRNG2e2kyL1F6kjU,https://api.spotify.com/v1/tracks/4SFBV7SRNG2e2kyL1F6kjU,https://api.spotify.com/v1/audio-analysis/4SFBV7SRNG2e2kyL1F6kjU,139307,4,"The Well-Tempered Clavier: Book 1, BWV 846-869: I. Prelude in C Major, BWV 846",Johann Sebastian Bach
102,0.289,0.0306,9,-30.79,0,0.0446,0.987,0.911,0.102,0.118,125.61,audio_features,3zLTPuucd3e6TxZnu2dlVS,spotify:track:3zLTPuucd3e6TxZnu2dlVS,https://api.spotify.com/v1/tracks/3zLTPuucd3e6TxZnu2dlVS,https://api.spotify.com/v1/audio-analysis/3zLTPuucd3e6TxZnu2dlVS,212067,3,"Bagatelle No. 25 in A Minor, WoO 59 ""Für Elise""",Ludwig van Beethoven
103,0.0753,0.07,2,-27.272,1,0.044,0.918,0.947,0.146,0.0625,79.801,audio_features,7h6GoPvGHC9uzZJ8bNvfIq,spotify:track:7h6GoPvGHC9uzZJ8bNvfIq,https://api.spotify.com/v1/tracks/7h6GoPvGHC9uzZJ8bNvfIq,https://api.spotify.com/v1/audio-analysis/7h6GoPvGHC9uzZJ8bNvfIq,365147,4,"Suite No. 3 in D Major, BWV 1068: II. Air",Johann Sebastian Bach
104,0.13,0.158,2,-16.132,1,0.035,0.748,0.924,0.1,0.0998,85.031,audio_features,5x3TUfYzgZIdt0Kaop64ss,spotify:track:5x3TUfYzgZIdt0Kaop64ss,https://api.spotify.com/v1/tracks/5x3TUfYzgZIdt0Kaop64ss,https://api.spotify.com/v1/audio-analysis/5x3TUfYzgZIdt0Kaop64ss,302093,4,"Pachelbel: Canon and Gigue in D Major for 3 Violins and Continuo, P. 37: I. Canon (Orchestral Version)",Johann Pachelbel
105,0.0939,0.0336,2,-24.041,0,0.0606,0.927,0.83,0.0954,0.0516,67.359,audio_features,1upQiytDIEZfl9ItruoXuC,spotify:track:1upQiytDIEZfl9ItruoXuC,https://api.spotify.com/v1/tracks/1upQiytDIEZfl9ItruoXuC,https://api.spotify.com/v1/audio-analysis/1upQiytDIEZfl9ItruoXuC,207267,3,"Handel / Orch. Hale: Keyboard Suite No. 4 in D Minor, HWV 437: III. Sarabande",George Frideric Handel
106,0.376,0.00579,5,-31.615,0,0.0576,0.996,0.944,0.0882,0.0369,71.827,audio_features,5fdp9rXfEixCGLM1Og4EN1,spotify:track:5fdp9rXfEixCGLM1Og4EN1,https://api.spotify.com/v1/tracks/5fdp9rXfEixCGLM1Og4EN1,https://api.spotify.com/v1/audio-analysis/5fdp9rXfEixCGLM1Og4EN1,296480,4,Gnossienne No. 1,Erik Satie
107,0.169,0.0161,9,-31.034,0,0.0442,0.986,0.86,0.0805,0.0573,128.143,audio_features,0jOnZhF75V68VsBObWx2XO,spotify:track:0jOnZhF75V68VsBObWx2XO,https://api.spotify.com/v1/tracks/0jOnZhF75V68VsBObWx2XO,https://api.spotify.com/v1/audio-analysis/0jOnZhF75V68VsBObWx2XO,174267,3,"The Carnival of the Animals, R. 125: XIII. The Swan (Arr. for Cello and Piano)",Camille Saint-Saëns
108,0.335,0.00501,1,-33.366,1,0.0451,0.993,0.919,0.0618,0.0383,132.085,audio_features,1cmigB9I6IRpFqjIbzvSQB,spotify:track:1cmigB9I6IRpFqjIbzvSQB,https://api.spotify.com/v1/tracks/1cmigB9I6IRpFqjIbzvSQB,https://api.spotify.com/v1/audio-analysis/1cmigB9I6IRpFqjIbzvSQB,294960,3,"Suite bergamasque, L. 75: III. Clair de lune",Claude Debussy
109,0.205,0.0686,4,-23.415,0,0.0462,0.873,0.402,0.0909,0.0359,90.779,audio_features,6Uk28Hs2MulezLxMrd1rBD,spotify:track:6Uk28Hs2MulezLxMrd1rBD,https://api.spotify.com/v1/tracks/6Uk28Hs2MulezLxMrd1rBD,https://api.spotify.com/v1/audio-analysis/6Uk28Hs2MulezLxMrd1rBD,337253,1,Meditation: Méditation from Thaïs,Jules Massenet
110,0.233,0.0252,2,-24.824,1,0.0346,0.975,0.604,0.143,0.0936,94.736,audio_features,0dzl6bBvsIAfHLlTbBObTW,spotify:track:0dzl6bBvsIAfHLlTbBObTW,https://api.spotify.com/v1/tracks/0dzl6bBvsIAfHLlTbBObTW,https://api.spotify.com/v1/audio-analysis/0dzl6bBvsIAfHLlTbBObTW,707173,4,"An der schönen blauen Donau, Op.314",Johann Strauss II
111,0.371,0.131,2,-23.899,1,0.0413,0.898,0.925,0.0847,0.0655,105.328,audio_features,0pCHzhuRt6kOU3FUEG3HnC,spotify:track:0pCHzhuRt6kOU3FUEG3HnC,https://api.spotify.com/v1/tracks/0pCHzhuRt6kOU3FUEG3HnC,https://api.spotify.com/v1/audio-analysis/0pCHzhuRt6kOU3FUEG3HnC,442693,4,"Danse Macabre, Op.40, R.171",Camille Saint-Saëns
112,0.0783,0.0523,5,-23.247,1,0.0471,0.896,0.945,0.0806,0.0327,82.015,audio_features,0cqcRqZgkNHanWQ8slYA0v,spotify:track:0cqcRqZgkNHanWQ8slYA0v,https://api.spotify.com/v1/tracks/0cqcRqZgkNHanWQ8slYA0v,https://api.spotify.com/v1/audio-analysis/0cqcRqZgkNHanWQ8slYA0v,583293,4,Mahler: Symphony No. 5 in C-Sharp Minor: IV. Adagietto. Sehr langsam,Gustav Mahler
113,0.0811,0.0122,4,-32.654,0,0.0511,0.902,0.308,0.0648,0.0384,74.554,audio_features,2kAgCRZPG3YQR2VMqRvLmb,spotify:track:2kAgCRZPG3YQR2VMqRvLmb,https://api.spotify.com/v1/tracks/2kAgCRZPG3YQR2VMqRvLmb,https://api.spotify.com/v1/audio-analysis/2kAgCRZPG3YQR2VMqRvLmb,935360,4,The Lark Ascending,Ralph Vaughan Williams
114,0.353,0.254,0,-16.205,1,0.0349,0.948,0.859,0.0843,0.0986,133.808,audio_features,3QqPgzOcv9titKufFR0gsQ,spotify:track:3QqPgzOcv9titKufFR0gsQ,https://api.spotify.com/v1/tracks/3QqPgzOcv9titKufFR0gsQ,https://api.spotify.com/v1/audio-analysis/3QqPgzOcv9titKufFR0gsQ,564640,4,"Piano Concerto No.3 in C, Op.26: 1. Andante - Allegro",Sergei Prokofiev
115,0.194,0.0545,4,-24.877,1,0.0366,0.983,0.945,0.0551,0.0385,140.966,audio_features,4rrrn8OLrttq7r9RgNXalU,spotify:track:4rrrn8OLrttq7r9RgNXalU,https://api.spotify.com/v1/tracks/4rrrn8OLrttq7r9RgNXalU,https://api.spotify.com/v1/audio-analysis/4rrrn8OLrttq7r9RgNXalU,644273,4,"Piano Concerto No. 2 in C Minor, Op. 18: 2. Adagio sostenuto",Sergei Rachmaninoff
116,0.253,0.098,11,-19.878,0,0.0437,0.93,0.862,0.122,0.062,84.865,audio_features,0k6P9cdEA9K3k0ASde2Kof,spotify:track:0k6P9cdEA9K3k0ASde2Kof,https://api.spotify.com/v1/tracks/0k6P9cdEA9K3k0ASde2Kof,https://api.spotify.com/v1/audio-analysis/0k6P9cdEA9K3k0ASde2Kof,640267,4,Rodrigo: Concierto de Aranjuez: II. Adagio,Joaquín Rodrigo
117,0.205,0.0525,1,-23.841,1,0.0327,0.98,0.906,0.103,0.0511,88.316,audio_features,419qlOGNXoyICx4jO0hqaj,spotify:track:419qlOGNXoyICx4jO0hqaj,https://api.spotify.com/v1/tracks/419qlOGNXoyICx4jO0hqaj,https://api.spotify.com/v1/audio-analysis/419qlOGNXoyICx4jO0hqaj,174653,4,"Rhapsody on a Theme of Paganini, Op. 43: Variation No. 18 Andante cantabile",Sergei Rachmaninoff
118,0.184,0.00527,1,-37.264,0,0.0432,0.995,0.887,0.173,0.151,170.612,audio_features,3DNRdudZ2SstnDCVKFdXxG,spotify:track:3DNRdudZ2SstnDCVKFdXxG,https://api.spotify.com/v1/tracks/3DNRdudZ2SstnDCVKFdXxG,https://api.spotify.com/v1/audio-analysis/3DNRdudZ2SstnDCVKFdXxG,315427,3,"Sonata No. 14 ""Moonlight"" in C-Sharp Minor"", Op. 27 No. 2: I. Adagio sostenuto",Ludwig van Beethoven
119,0.235,0.0639,11,-24.404,0,0.049,0.962,0.603,0.466,0.0781,120.736,audio_features,04eShjKTWijeJJqGnhxpYK,spotify:track:04eShjKTWijeJJqGnhxpYK,https://api.spotify.com/v1/tracks/04eShjKTWijeJJqGnhxpYK,https://api.spotify.com/v1/audio-analysis/04eShjKTWijeJJqGnhxpYK,200360,3,Scheherazade: The Tale of the Kalendar Prince,Nikolai Rimsky-Korsakov
120,0.148,0.0722,4,-25.217,0,0.0427,0.944,0.148,0.115,0.0467,87.882,audio_features,5pjDwtMPly0cNMbuGXhUOI,spotify:track:5pjDwtMPly0cNMbuGXhUOI,https://api.spotify.com/v1/tracks/5pjDwtMPly0cNMbuGXhUOI,https://api.spotify.com/v1/audio-analysis/5pjDwtMPly0cNMbuGXhUOI,478573,4,"Elgar: Cello Concerto in E Minor, Op. 85: I. Adagio - Moderato",Edward Elgar
121,0.312,0.0465,9,-26.438,0,0.0378,0.981,0.9,0.0872,0.0371,130.303,audio_features,0QTaXZRWdzfPdssiQThdCL,spotify:track:0QTaXZRWdzfPdssiQThdCL,https://api.spotify.com/v1/tracks/0QTaXZRWdzfPdssiQThdCL,https://api.spotify.com/v1/audio-analysis/0QTaXZRWdzfPdssiQThdCL,766213,3,"Piano Concerto in A Minor, Op. 16: I. Allegro molto moderato",Edvard Grieg
122,0.341,0.0142,2,-28.293,1,0.0388,0.993,0.921,0.113,0.0384,76.382,audio_features,3GecLjGMqzjmgkvy2v41Wf,spotify:track:3GecLjGMqzjmgkvy2v41Wf,https://api.spotify.com/v1/tracks/3GecLjGMqzjmgkvy2v41Wf,https://api.spotify.com/v1/audio-analysis/3GecLjGMqzjmgkvy2v41Wf,357747,1,"Ständchen in D Minor (After Schubert), S. 560",Franz Liszt
123,0.279,0.0292,8,-26.804,1,0.0406,0.987,0.902,0.104,0.0338,136.732,audio_features,2u9VGZmVz7Rm01SfDgzcfA,spotify:track:2u9VGZmVz7Rm01SfDgzcfA,https://api.spotify.com/v1/tracks/2u9VGZmVz7Rm01SfDgzcfA,https://api.spotify.com/v1/audio-analysis/2u9VGZmVz7Rm01SfDgzcfA,293147,3,"Liebestraum No. 3 in A-Flat Major, S. 541 / 3",Franz Liszt
124,0.113,0.161,7,-20.046,1,0.0442,0.484,0.928,0.16,0.0365,65.062,audio_features,3af6PvJHP8XlFMWeuN7bF8,spotify:track:3af6PvJHP8XlFMWeuN7bF8,https://api.spotify.com/v1/tracks/3af6PvJHP8XlFMWeuN7bF8,https://api.spotify.com/v1/audio-analysis/3af6PvJHP8XlFMWeuN7bF8,337840,4,"Andante festivo for Strings and Timpani, JS 34b",Jean Sibelius
